UniqueID,wave2.dum,wave3.dum,mg.asp_w2,mg.asp_w3,mg.pln_w1,mg.pln_w2,mg.pln_w3,treat.dum,Region,nonmissing2,nonmissing3,wt2,wt3,bus.location,bus.open,bus.purchases,bus.hire,bus.profit,bus.close,self.suff_w2,efficacy_w2,placeat_w2,self.suff_w3,efficacy_w3,placeat_w3,age,educ,male,bs.exp.now,bs.exp.past,Score,job_w1,top.dest.d_w1,top.dest.d_w2,top.dest.d_w3,nt.mg.afr,nt.mg.good.afr,nt.mg.cnt.afr,nt.mg.out,nt.mg.good.out,nt.mg.cnt.out,gvt.rg.cmpl_w2,gvt.rg.cmpl_w3,bs.supp_w2,bs.supp_w3,nt.bs,nt.bs.cnt,occup,bribes.common_w2,bribes.common_w3,gvt.rg.unpred_w2,gvt.rg.unpred_w3,mg.ab.work_w2,mg.ab.work_w3,mg.ab.tourist_w2,mg.ab.tourist_w3,mg.ab.bw_w2,mg.ab.bw_w3,cvd.rch.econ_w2,cvd.rch.econ_w3,lost.job.dum,lost.job,bw.risk_w2,bw.risk_w3,mg.ab_w2,mg.ab_w3,rsktkr
115,1,1,5,4,1,1,1,0,West Coast Region,TRUE,TRUE,1.0888061785820784,1.5171462948525816,0,0,0,0,1,1,2.57142857142857,2,1,2,3.33333333333333,1,21,2,1,0,0,67,0,1,1,1,NA,NA,NA,4,NA,0,5,3,2,2,2,2,Student,4,4,4,3,3,3,2,3,1,3,2,3,0,0,8,5,2,2,7
116,1,1,2,2,1,1,1,0,Upper River Region,TRUE,TRUE,1.1034458227842157,1.4122448956183637,1,1,0,1,1,0,2.85714285714286,2.66666666666667,4,5,5,2,32,2,0,1,0,60,0,0,0,1,1,NA,NA,4,NA,NA,2,4,2,4,5,0,Trader/hawker/vendor,2,5,4,4,1,3,1,3,1,1,3,3,1,1,10,5,3,2,9
117,1,1,4,3,1,1,1,1,Greater Banjul Area,TRUE,TRUE,1.0846144055605962,1.4515488480903291,1,0,1,0,0,1,3.42857142857143,3.33333333333333,3,2.71428571428571,3.33333333333333,4,34,2,0,0,1,47,0,1,1,0,7,3,NA,20,9,NA,4,4,2,3,12,3,"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",4,4,4,4,2,1,2,1,2,1,3,4,1,1,7,10,2,1,10
118,1,0,5,NA,1,2,NA,1,Upper River Region,TRUE,FALSE,1.0531046551010774,1.2578331890093903,NA,NA,NA,NA,NA,NA,3.71428571428571,3.33333333333333,4,NA,NA,NA,24,2,0,1,0,67,0,1,1,NA,3,3,0,10,9,1,3,NA,2,NA,2,1,Trader/hawker/vendor,3,NA,4,NA,2,NA,3,NA,1,NA,4,NA,NA,NA,10,NA,2,NA,7
119,1,0,4,NA,NA,1,NA,1,Upper River Region,TRUE,FALSE,1.1493571961595512,1.613470876753938,NA,NA,NA,NA,NA,NA,4,3.33333333333333,1,NA,NA,NA,24,2,1,0,0,60,0,0,0,NA,3,3,1,NA,NA,NA,5,NA,2,NA,10,5,Agriculture/farming/fishing/forestry,4,NA,4,NA,3,NA,3,NA,1,NA,4,NA,1,1,4,NA,2,NA,8
120,1,0,4,NA,3,1,NA,0,Greater Banjul Area,TRUE,FALSE,1.10025468319393,1.346934533137657,NA,NA,NA,NA,NA,NA,4,2.66666666666667,4,NA,NA,NA,48,2,0,1,0,53,0,0,0,NA,3,3,0,5,5,0,4,NA,1,NA,50,0,Trader/hawker/vendor,4,NA,4,NA,1,NA,2,NA,1,NA,4,NA,1,1,5,NA,2,NA,0
121,1,1,3,3,NA,1,1,0,Greater Banjul Area,TRUE,TRUE,1.043548034461329,1.2356647299281955,1,1,0,0,0,0,4,4,5,4,4.66666666666667,4,26,2,1,0,0,47,1,NA,0,0,NA,NA,NA,10,5,3,4,4,2,5,NA,0,"Upper-level professional (e.g., banker/finance, doctor, lawyer, engineer, accountant, professor, senior-level government officer",2,2,4,4,3,3,3,0,1,1,4,1,0,2,10,10,3,1,10
123,1,1,4,3,2,1,1,1,Greater Banjul Area,TRUE,TRUE,1.1022891962928687,1.3508535165247828,1,0,0,0,0,0,4.57142857142857,3.33333333333333,3,3.28571428571429,3.66666666666667,1,28,2,1,1,0,60,1,NA,1,1,7,2,1,6,6,0,4,5,4,2,5,1,Supervisor/Foreman/Senior manager,3,4,4,4,3,3,2,3,1,1,4,4,0,2,5,8,1,2,5
124,1,1,5,5,2,2,3,0,Greater Banjul Area,TRUE,TRUE,1.048548627175393,1.2358657708868634,0,0,0,0,0,0,4,4.33333333333333,3,2.42857142857143,3,1,31,2,1,0,0,53,1,1,1,1,2,1,0,17,12,0,2,4,1,2,11,0,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",3,5,4,4,4,4,2,4,1,1,3,4,0,2,7,7,4,3,0
125,0,0,NA,NA,2,NA,NA,1,West Coast Region,FALSE,FALSE,1.1270496955627196,1.5905401554402685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2,1,0,0,47,0,1,NA,NA,5,5,0,10,10,0,NA,NA,NA,NA,2,2,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,0,NA,NA,NA,NA,10
