UniqueID,wave2.dum,wave3.dum,mg.asp_w2,mg.asp_w3,mg.pln_w1,mg.pln_w2,mg.pln_w3,treat.dum,Region,nonmissing2,nonmissing3,wt2,wt3,bus.location,bus.open,bus.purchases,bus.hire,bus.profit,bus.close,self.suff_w2,efficacy_w2,placeat_w2,self.suff_w3,efficacy_w3,placeat_w3,age,educ,male,bs.exp.now,bs.exp.past,Score,job_w1,top.dest.d_w1,top.dest.d_w2,top.dest.d_w3,nt.mg.afr,nt.mg.good.afr,nt.mg.cnt.afr,nt.mg.out,nt.mg.good.out,nt.mg.cnt.out,gvt.rg.cmpl_w2,gvt.rg.cmpl_w3,bs.supp_w2,bs.supp_w3,nt.bs,nt.bs.cnt,occup,bribes.common_w2,bribes.common_w3,gvt.rg.unpred_w2,gvt.rg.unpred_w3,mg.ab.work_w2,mg.ab.work_w3,mg.ab.tourist_w2,mg.ab.tourist_w3,mg.ab.bw_w2,mg.ab.bw_w3,cvd.rch.econ_w2,cvd.rch.econ_w3,lost.job.dum,lost.job,bw.risk_w2,bw.risk_w3,mg.ab_w2,mg.ab_w3,rsktkr
201,1,1,5,5,2,3,1,0,Greater Banjul Area,TRUE,TRUE,1.0988530490270099,1.5476836138853334,1,0,0,1,0,0,2.57142857142857,4,1,1.42857142857143,3.33333333333333,2,28,2,1,0,0,47,1,0,1,1,2,2,2,2,2,NA,4,4,2,2,5,0,Agriculture/farming/fishing/forestry,4,4,4,4,4,3,3,3,2,1,2,4,0,2,10,10,1,1,10
202,1,0,3,NA,2,1,NA,0,Lower River Region,TRUE,FALSE,1.1704132803176341,1.769114428330015,NA,NA,NA,NA,NA,NA,3.71428571428571,3.33333333333333,2,NA,NA,NA,36,2,1,1,0,60,1,0,1,NA,3,NA,NA,50,NA,NA,5,NA,3,NA,7,1,Agriculture/farming/fishing/forestry,4,NA,4,NA,1,NA,1,NA,1,NA,2,NA,0,2,5,NA,1,NA,10
203,1,1,3,3,1,1,3,0,Greater Banjul Area,FALSE,FALSE,NA,NA,1,0,0,0,1,0,4.14285714285714,3,4,2.71428571428571,3.66666666666667,3,31,NA,0,1,0,80,0,1,1,0,6,6,2,10,5,1,5,4,3,3,7,4,Other,3,1,3,3,3,3,2,3,1,1,NA,4,1,1,10,5,1,1,10
204,1,0,5,NA,3,2,NA,0,West Coast Region,TRUE,FALSE,1.066165744942945,1.3282048337414352,NA,NA,NA,NA,NA,NA,3.42857142857143,4.66666666666667,5,NA,NA,NA,36,2,1,1,0,73,1,1,1,NA,5,5,1,4,4,3,3,NA,3,NA,15,1,Agriculture/farming/fishing/forestry,5,NA,3,NA,3,NA,5,NA,1,NA,3,NA,0,2,8,NA,3,NA,10
205,1,0,5,NA,1,1,NA,0,Greater Banjul Area,TRUE,FALSE,1.1133185158839385,1.5530925207173283,NA,NA,NA,NA,NA,NA,2.57142857142857,2.33333333333333,1,NA,NA,NA,24,2,1,0,1,73,1,1,1,NA,NA,NA,NA,5,5,2,2,NA,2,NA,15,2,"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",4,NA,4,NA,3,NA,1,NA,1,NA,3,NA,0,2,6,NA,4,NA,6
206,1,1,5,1,1,1,1,1,West Coast Region,FALSE,FALSE,NA,NA,0,0,1,0,0,0,3.14285714285714,3.33333333333333,5,2.85714285714286,2.66666666666667,1,22,NA,0,0,0,47,0,0,0,1,NA,NA,NA,3,NA,3,4,4,4,2,10,3,Student,2,4,4,4,1,1,2,1,1,1,1,4,0,0,10,10,2,1,0
207,0,0,NA,NA,1,NA,NA,0,Greater Banjul Area,FALSE,FALSE,1.1107476180283125,1.358823227397684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,3,0,1,0,60,0,1,NA,NA,1,1,5,40,25,5,NA,NA,NA,NA,30,2,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,1,NA,NA,NA,NA,5
208,1,1,4,5,1,2,1,1,Upper River Region,TRUE,TRUE,1.0800407289139478,1.4717218229931757,1,0,0,0,1,1,4,3.33333333333333,4,4,3,4,28,2,1,0,1,60,0,1,1,0,6,4,1,3,2,1,2,4,2,2,10,2,None,4,4,4,4,4,1,1,2,1,1,2,3,0,0,10,0,1,2,7
209,1,1,2,3,1,1,1,1,Greater Banjul Area,TRUE,TRUE,1.0386980752955213,1.2080723555509474,1,0,0,0,0,0,2.28571428571429,3,3,2,3.33333333333333,3,32,2,1,0,0,60,0,1,1,1,1,1,0,40,8,0,4,3,3,1,0,0,Student,5,4,4,4,1,2,1,0,2,2,3,5,0,0,NA,NA,2,1,8
210,1,1,4,3,1,1,1,1,Greater Banjul Area,TRUE,TRUE,1.0830907850979012,1.2506410626520021,1,1,1,1,1,0,4.85714285714286,4,4,4.85714285714286,3.66666666666667,1,28,2,0,0,0,53,1,1,1,1,4,4,0,8,8,0,4,4,4,3,7,4,Supervisor/Foreman/Senior manager,5,5,5,4,3,3,3,4,1,1,3,1,0,2,6,6,3,4,8
211,1,1,3,5,1,2,3,1,West Coast Region,TRUE,TRUE,1.1081320932344352,1.5227251276277864,1,0,0,0,1,0,3.71428571428571,4,2,3.42857142857143,3.33333333333333,2,24,2,1,0,0,60,0,1,1,1,1,0,0,50,35,2,5,2,5,2,1,2,Student,3,4,4,2,2,2,3,0,1,1,4,1,NA,NA,1,10,NA,3,8
212,1,1,4,3,3,2,1,0,Upper River Region,TRUE,TRUE,1.0409047959851587,1.3814334413248561,1,1,1,1,0,1,4,3.66666666666667,2,3.71428571428571,3.33333333333333,4,30,2,1,0,0,47,0,1,1,1,6,4,4,15,10,7,2,4,4,4,10,0,Agriculture/farming/fishing/forestry,2,4,1,4,2,2,2,2,1,2,3,1,1,1,6,5,1,2,10
214,1,1,4,5,1,1,2,0,Greater Banjul Area,TRUE,TRUE,1.047575382168747,1.2285260661974176,1,0,0,0,0,0,3,3.33333333333333,1,2,3.33333333333333,1,35,2,1,1,0,67,0,1,1,1,4,4,NA,20,20,NA,4,4,2,2,6,6,None,4,4,4,4,1,3,2,3,1,1,4,4,1,1,7,9,2,1,5
215,1,1,2,4,1,1,1,1,Lower River Region,TRUE,TRUE,1.168856848805193,1.7276400170399226,1,0,1,0,0,1,3.71428571428571,3.33333333333333,2,3.28571428571429,2.66666666666667,1,26,2,1,1,0,53,0,1,1,1,NA,NA,NA,22,NA,NA,4,4,2,4,5,2,Retail/Shop,4,4,4,5,4,3,4,2,1,2,1,4,1,1,6,6,2,3,0
217,1,1,2,3,1,1,1,1,Greater Banjul Area,TRUE,TRUE,1.086781338489832,1.3548935461659362,1,1,1,1,1,0,2.57142857142857,3.33333333333333,3,1.85714285714286,2.33333333333333,3,31,3,1,0,1,47,1,0,0,0,2,2,NA,7,5,1,3,3,3,2,5,3,"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",NA,3,2,4,NA,3,NA,3,2,1,3,3,0,2,NA,5,3,1,7
218,1,1,4,4,2,2,2,1,West Coast Region,TRUE,TRUE,1.0446661218616629,1.214317224246349,1,1,1,0,0,1,3.57142857142857,3.66666666666667,4,3.14285714285714,3.33333333333333,1,24,2,0,0,0,60,1,1,1,1,2,1,NA,2,2,1,4,3,4,2,1,0,Student,4,4,4,4,2,1,2,2,1,1,2,1,0,2,8,10,2,2,0
219,1,1,4,4,1,2,1,0,Greater Banjul Area,TRUE,TRUE,1.0397765344238572,1.21444461889472,1,0,0,0,0,0,2.57142857142857,4,2,3.85714285714286,3.66666666666667,1,22,2,1,1,0,87,1,1,1,1,3,3,1,10,6,2,2,5,2,1,3,1,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",5,4,4,4,2,1,1,1,1,2,3,4,0,2,5,10,2,1,8
222,1,1,5,4,2,1,2,1,Greater Banjul Area,TRUE,TRUE,1.1557168110867015,1.669591451702796,0,0,1,1,1,1,4,4.33333333333333,2,2.57142857142857,3.66666666666667,1,20,2,1,0,0,60,0,1,1,1,5,5,2,10,10,1,2,5,4,4,2,2,Student,4,4,4,2,2,1,2,2,1,1,3,3,0,0,10,10,1,1,10
223,1,0,5,NA,1,3,NA,0,Greater Banjul Area,TRUE,FALSE,1.338401992702951,2.038672691615814,NA,NA,NA,NA,NA,NA,3.85714285714286,4.33333333333333,1,NA,NA,NA,36,3,1,1,0,73,0,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,0,Trader/hawker/vendor,2,NA,4,NA,NA,NA,3,NA,NA,NA,3,NA,1,1,7,NA,3,NA,4
224,1,1,4,2,1,1,1,0,Lower River Region,TRUE,TRUE,1.1108852880396867,1.4366163660778954,0,0,0,0,0,0,5,3.66666666666667,3,3.71428571428571,4,3,27,2,0,0,0,60,0,1,1,1,NA,NA,NA,NA,NA,NA,5,4,3,2,3,0,Housewife/homemaker,5,4,5,4,2,2,2,2,2,1,1,1,NA,NA,7,10,2,1,10
225,1,1,2,5,1,2,1,1,Upper River Region,TRUE,TRUE,1.0746089904080247,1.4875348182642236,1,0,0,0,0,0,4.42857142857143,2.66666666666667,5,4,3.33333333333333,2,20,2,1,0,0,53,0,1,1,1,NA,NA,NA,NA,NA,NA,4,4,5,4,4,2,Trader/hawker/vendor,4,4,4,4,4,2,1,1,1,1,4,1,1,1,7,8,1,1,10
226,1,0,4,NA,2,3,NA,1,Upper River Region,TRUE,FALSE,1.1704132803176341,1.769114428330015,NA,NA,NA,NA,NA,NA,4.42857142857143,3.33333333333333,2,NA,NA,NA,27,2,1,1,0,53,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,0,"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",4,NA,2,NA,3,NA,2,NA,1,NA,NA,NA,0,2,8,NA,2,NA,7
227,1,1,4,4,1,2,1,0,Greater Banjul Area,TRUE,TRUE,1.0592765473412626,1.2908987778108578,1,1,0,0,1,1,4,3,NA,4,3.33333333333333,1,26,2,0,0,1,53,0,NA,0,1,NA,NA,NA,NA,NA,NA,3,3,4,2,NA,0,"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",NA,4,4,4,3,3,4,3,1,1,NA,2,1,1,10,10,4,3,3
228,1,1,4,4,1,3,1,0,Greater Banjul Area,TRUE,TRUE,1.0795025002304202,1.3277397813858653,1,0,0,0,0,0,3.42857142857143,2.66666666666667,1,4.14285714285714,4,3,24,3,0,0,1,53,0,0,1,1,NA,NA,NA,NA,NA,NA,4,3,4,4,NA,0,Student,4,2,4,2,2,2,4,2,2,4,NA,2,0,0,7,8,4,4,4
229,1,1,5,3,1,3,1,1,Greater Banjul Area,TRUE,TRUE,1.0772863312240646,1.4108897443863753,0,0,0,0,0,1,3.71428571428571,3.33333333333333,2,2.71428571428571,3,3,28,2,0,0,1,73,0,1,1,NA,NA,NA,NA,NA,NA,NA,4,5,2,3,6,0,None,4,5,5,3,4,NA,5,NA,NA,NA,NA,4,0,0,NA,NA,2,5,5
230,1,1,3,5,2,3,1,0,Greater Banjul Area,TRUE,TRUE,1.125382154447912,1.5045214847226878,1,0,1,0,0,0,4,3.33333333333333,4,3.85714285714286,3.66666666666667,3,25,2,0,1,0,60,1,1,0,1,NA,NA,NA,NA,NA,NA,2,5,2,2,NA,0,Student,3,5,3,5,3,3,3,3,1,2,NA,1,0,2,8,7,5,2,5
231,1,0,4,NA,1,2,NA,0,Greater Banjul Area,TRUE,FALSE,1.0294406058398489,1.2818985658215096,NA,NA,NA,NA,NA,NA,4,3,1,NA,NA,NA,25,3,0,1,0,60,1,0,1,NA,3,2,6,NA,NA,NA,5,NA,4,NA,40,5,Student,1,NA,4,NA,3,NA,3,NA,1,NA,3,NA,0,2,7,NA,3,NA,10
232,1,1,5,3,1,3,3,1,West Coast Region,TRUE,TRUE,1.052462447053306,1.4149552938422343,1,1,1,0,1,0,4,4,4,4,3.66666666666667,1,28,2,1,0,0,60,1,1,1,1,NA,NA,NA,5,3,NA,4,3,3,2,5,2,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",3,4,4,4,2,4,2,2,2,1,3,4,0,2,5,5,2,1,0
233,1,1,2,2,1,1,1,1,Greater Banjul Area,TRUE,TRUE,1.0840740670271294,1.4726033675732535,1,1,1,1,0,0,5,4.66666666666667,5,4.85714285714286,4.66666666666667,3,29,3,1,1,0,60,1,0,0,1,4,2,NA,10,NA,0,4,5,4,2,9,1,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",4,5,4,5,3,2,0,2,1,1,2,1,0,2,10,8,2,3,10
234,1,1,3,4,1,1,1,1,Greater Banjul Area,TRUE,TRUE,1.0924292540028762,1.4901735557165516,0,1,1,0,1,0,4,3.66666666666667,3,4.28571428571429,3.33333333333333,4,23,2,0,1,0,60,1,1,1,1,6,3,2,2,2,2,4,4,2,4,4,2,Agriculture/farming/fishing/forestry,4,2,4,4,2,1,2,0,1,1,1,1,0,2,10,7,2,1,10
235,1,0,4,NA,1,1,NA,1,Greater Banjul Area,TRUE,FALSE,1.0526748984344563,1.2568394258421236,NA,NA,NA,NA,NA,NA,4.71428571428571,4.66666666666667,4,NA,NA,NA,22,3,0,1,0,53,0,1,1,NA,NA,NA,NA,5,5,2,4,NA,5,NA,5,1,Student,2,NA,4,NA,2,NA,3,NA,1,NA,1,NA,1,1,6,NA,1,NA,6
236,1,1,3,4,1,1,1,0,Greater Banjul Area,TRUE,TRUE,1.0829519056077557,1.3221392158271181,1,1,0,0,1,0,3.85714285714286,3.33333333333333,1,3.42857142857143,2.66666666666667,1,28,1,1,1,0,67,1,1,1,1,NA,NA,NA,10,1,NA,5,4,2,2,1,0,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",NA,2,5,2,1,2,1,2,1,1,1,2,0,2,8,7,1,2,5
237,1,1,2,3,1,1,1,0,Greater Banjul Area,TRUE,TRUE,1.0824177754888782,1.5042415794593145,0,0,0,0,0,1,3.42857142857143,2.66666666666667,1,4,3.33333333333333,3,32,2,1,1,0,87,1,1,NA,NA,1,1,NA,4,4,2,4,4,2,1,4,2,Other,4,3,2,5,0,2,2,2,1,4,2,4,0,2,8,8,2,2,8
238,1,1,2,1,1,1,1,0,Lower River Region,TRUE,TRUE,1.0742174873080461,1.3163816856149657,1,0,0,0,0,0,3.14285714285714,3,5,4.14285714285714,3.66666666666667,5,23,2,1,1,0,47,0,0,0,0,NA,NA,NA,5,NA,NA,4,5,1,1,9,0,Agriculture/farming/fishing/forestry,4,4,2,4,1,2,1,1,1,1,2,4,1,1,10,10,1,1,5
240,1,1,2,5,1,1,3,0,Upper River Region,TRUE,TRUE,1.1550361871519117,1.6317066790223465,0,0,0,0,0,0,3.71428571428571,3.33333333333333,1,3,3,1,31,2,1,1,0,53,1,1,1,1,NA,NA,NA,7,5,3,2,4,2,3,10,4,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",2,4,4,4,1,3,2,3,2,3,2,1,0,2,6,5,3,3,10
241,1,0,3,NA,1,1,NA,1,Greater Banjul Area,TRUE,FALSE,1.0773469530380635,1.3180009303669618,NA,NA,NA,NA,NA,NA,3.85714285714286,3.33333333333333,4,NA,NA,NA,26,2,1,0,0,53,0,1,1,NA,6,6,1,6,6,1,5,NA,4,NA,4,4,Student,4,NA,4,NA,1,NA,2,NA,1,NA,4,NA,1,1,6,NA,1,NA,10
242,1,1,3,3,1,1,1,1,West Coast Region,TRUE,TRUE,1.0708050887936533,1.312995169494194,0,0,0,0,0,0,3.28571428571429,3.66666666666667,2,3.14285714285714,3.33333333333333,2,24,2,0,0,1,53,1,1,1,1,3,3,1,8,2,0,2,4,3,4,0,0,"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",4,2,3,2,2,2,2,2,1,1,2,2,0,2,10,10,3,1,10
243,1,1,2,1,1,1,1,0,Greater Banjul Area,TRUE,TRUE,1.0973228691311698,1.3449922388620659,1,0,1,0,0,0,4,3,4,3.71428571428571,3,5,29,2,0,1,0,60,0,NA,1,0,NA,NA,NA,10,6,0,3,3,2,2,5,3,Agriculture/farming/fishing/forestry,4,4,3,4,1,1,1,5,1,1,1,1,1,1,10,10,1,1,10
244,1,1,5,5,1,2,1,1,Greater Banjul Area,FALSE,FALSE,NA,NA,1,1,0,0,0,0,4.57142857142857,4.66666666666667,1,4.57142857142857,3.66666666666667,5,28,NA,1,0,1,60,0,1,1,0,NA,NA,NA,10,10,0,4,4,3,2,6,2,Other,4,4,4,5,3,3,2,3,1,2,1,4,1,1,8,10,3,2,5
245,1,1,5,4,2,2,3,0,Greater Banjul Area,TRUE,TRUE,1.0740825040858109,1.4571601821072355,1,0,0,0,0,0,2.14285714285714,2.66666666666667,3,3.85714285714286,3.33333333333333,5,23,2,1,0,0,60,0,1,1,1,5,5,1,20,20,3,4,4,2,2,6,4,None,4,4,4,4,3,3,3,3,1,3,3,6,1,1,10,10,3,3,10
246,1,0,5,NA,1,3,NA,0,Greater Banjul Area,TRUE,FALSE,1.0883401771790033,1.3355978082909372,NA,NA,NA,NA,NA,NA,2.85714285714286,4,2,NA,NA,NA,33,2,1,0,1,60,1,1,1,NA,2,2,0,30,20,0,4,NA,2,NA,5,6,Trader/hawker/vendor,4,NA,4,NA,1,NA,2,NA,1,NA,2,NA,0,2,9,NA,3,NA,0
247,1,1,3,5,1,1,1,1,West Coast Region,TRUE,TRUE,1.0408530043818138,1.2855701653365037,1,0,1,0,0,0,4,3.33333333333333,3,4,3.66666666666667,1,28,3,1,1,0,60,1,1,1,1,NA,NA,NA,10,4,0,4,4,4,3,5,3,Trader/hawker/vendor,4,5,4,5,2,1,2,1,1,1,3,3,0,2,10,9,2,1,10
248,1,1,2,3,1,1,1,0,West Coast Region,TRUE,TRUE,1.166395041792519,1.6848011577289248,1,NA,0,0,0,0,3.85714285714286,4,5,4,4,4,26,2,1,0,0,67,1,NA,1,1,NA,NA,NA,10,10,1,4,4,2,3,2,3,Agriculture/farming/fishing/forestry,4,4,3,4,1,3,1,4,1,1,4,1,0,2,NA,5,1,1,8
249,1,1,5,5,2,2,1,0,Greater Banjul Area,TRUE,TRUE,1.0366280848709657,1.1958902613159585,1,1,1,1,0,0,3.42857142857143,3,2,2.42857142857143,3.33333333333333,1,29,2,1,0,0,53,1,1,1,1,NA,NA,NA,15,3,4,5,2,2,2,6,5,Student,3,4,3,4,1,1,2,2,4,1,4,3,0,2,NA,8,1,1,0
250,1,1,2,5,1,1,1,0,Greater Banjul Area,TRUE,TRUE,1.094930872486667,1.3420984218435572,1,0,1,1,0,1,2.57142857142857,4,4,2.28571428571429,4,2,31,3,1,0,0,60,0,0,0,1,1,6,0,20,15,7,4,3,1,2,10,4,"Upper-level professional (e.g., banker/finance, doctor, lawyer, engineer, accountant, professor, senior-level government officer",3,3,4,2,3,2,4,1,1,2,1,3,0,0,2,4,1,2,5
251,1,1,4,4,1,1,1,0,West Coast Region,TRUE,TRUE,1.2435171535486915,2.0200003870587184,0,0,0,0,0,0,2.28571428571429,2.66666666666667,1,3.14285714285714,3.33333333333333,2,27,2,1,1,0,60,1,1,1,1,1,6,6,10,8,2,4,4,2,2,7,2,Student,2,2,4,4,1,1,1,1,1,1,1,4,0,2,10,8,1,1,9
254,1,1,2,2,1,1,1,0,Greater Banjul Area,TRUE,TRUE,1.0490058301598424,1.2669161157188455,1,0,0,0,0,0,3.57142857142857,3.66666666666667,5,3.28571428571429,4,4,30,2,1,0,0,60,0,1,0,0,1,1,0,12,10,0,5,2,2,2,4,2,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",4,4,1,2,1,1,5,5,1,1,4,5,1,1,4,10,1,1,8
255,1,1,4,3,1,1,1,1,Greater Banjul Area,TRUE,TRUE,1.1916306987678709,1.75222019741313,1,1,1,0,1,0,4.42857142857143,4.33333333333333,2,3.71428571428571,4,4,23,1,0,1,0,53,1,1,1,1,3,2,0,4,4,0,4,3,4,2,5,0,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",4,4,4,4,2,1,3,2,1,1,4,3,0,2,2,10,1,2,8
256,1,1,5,4,1,2,1,1,Greater Banjul Area,TRUE,TRUE,1.1046758760705921,1.5112592158042626,0,0,0,0,0,0,3.28571428571429,3,3,4,3.33333333333333,4,30,3,0,1,0,60,1,1,1,1,2,2,2,5,4,2,4,4,4,2,3,1,"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",2,4,4,4,4,2,2,2,1,2,4,4,0,2,7,10,3,2,5
257,1,1,5,1,3,2,2,1,Greater Banjul Area,TRUE,TRUE,1.049901606871299,1.243089213914138,1,0,1,0,1,0,3.42857142857143,4,2,2.85714285714286,2.33333333333333,1,24,2,1,1,0,53,1,1,1,1,2,1,NA,50,NA,NA,2,2,4,2,5,0,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",4,4,2,2,4,4,2,4,1,1,2,2,0,2,4,5,2,2,1
258,1,1,5,4,2,3,3,0,Greater Banjul Area,TRUE,TRUE,1.0610130121749122,1.4598354606665547,1,1,0,0,0,0,5,4,1,4,4.66666666666667,1,28,2,1,0,0,53,1,1,1,1,1,1,1,5,5,1,4,4,4,5,8,2,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",3,4,4,4,3,4,4,4,1,1,3,3,0,2,8,7,3,4,8
259,0,0,NA,NA,1,NA,NA,1,Greater Banjul Area,FALSE,FALSE,1.1708007277618102,1.6493901214965863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,3,0,1,0,87,1,1,NA,NA,5,5,0,NA,NA,NA,NA,NA,NA,NA,30,2,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,5
260,1,1,2,2,1,1,1,1,Greater Banjul Area,TRUE,TRUE,1.0930427150803383,1.3382772316065425,1,1,1,1,1,0,4.14285714285714,4,4,4.14285714285714,4.33333333333333,4,30,2,1,1,0,67,1,0,NA,NA,2,2,0,10,6,0,2,2,4,4,3,3,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",2,1,2,2,0,0,0,0,1,1,3,3,0,2,10,10,1,2,9
261,1,1,3,3,1,1,1,0,Greater Banjul Area,TRUE,TRUE,1.0471903718977047,1.2276452610992843,1,1,0,0,1,0,4.42857142857143,4,4,4,3,2,32,3,1,1,0,60,0,1,0,0,5,5,3,16,10,4,5,4,2,3,2,1,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",5,4,4,4,2,3,3,0,5,5,5,1,1,1,10,10,1,2,9
262,0,0,NA,NA,1,NA,NA,0,West Coast Region,FALSE,FALSE,1.0592765473412626,1.2908987778108578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,1,1,0,53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,1,NA,NA,NA,NA,9
263,1,1,4,5,1,1,1,1,Upper River Region,TRUE,TRUE,1.2295144944999088,1.5853156563157087,1,0,0,0,0,0,3.71428571428571,4,3,3.71428571428571,3.33333333333333,4,26,2,1,0,0,47,0,NA,1,1,NA,NA,NA,NA,NA,NA,3,4,2,4,0,0,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",3,2,3,4,2,2,2,1,1,1,4,4,1,1,7,6,2,1,8
264,1,0,5,NA,1,1,NA,0,Greater Banjul Area,TRUE,FALSE,1.047575382168747,1.2285260661974176,NA,NA,NA,NA,NA,NA,4,4,2,NA,NA,NA,26,2,0,1,0,73,0,1,1,NA,1,5,2,20,6,1,4,NA,2,NA,10,2,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",4,NA,4,NA,1,NA,3,NA,1,NA,2,NA,1,1,5,NA,1,NA,10
265,1,1,3,1,1,1,1,0,West Coast Region,FALSE,FALSE,NA,NA,0,0,0,0,1,0,2.85714285714286,4,5,2.71428571428571,2.66666666666667,2,26,NA,0,0,0,80,1,1,0,NA,NA,NA,NA,7,3,3,3,4,2,4,5,6,Other,4,4,4,2,2,3,3,0,2,1,4,1,0,2,2,5,3,1,8
266,0,0,NA,NA,1,NA,NA,0,West Coast Region,FALSE,FALSE,1.0592765473412626,1.2908987778108578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,2,1,0,1,53,1,1,NA,NA,2,2,0,30,15,1,NA,NA,NA,NA,5,1,"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0,2,NA,NA,NA,NA,8
267,1,1,4,5,2,3,1,0,Greater Banjul Area,TRUE,TRUE,1.0587113048908856,1.2361000984137152,1,1,0,0,0,0,3.71428571428571,3,2,4,2.66666666666667,1,23,2,1,0,0,47,0,1,1,1,4,3,1,25,25,5,4,2,2,2,15,10,Student,4,4,3,2,4,4,4,1,1,1,4,1,0,0,10,8,4,4,10
268,1,1,2,1,1,1,1,1,West Coast Region,TRUE,TRUE,1.163662945796219,1.680967537819855,1,0,0,0,0,0,3.71428571428571,2.66666666666667,4,2.85714285714286,2.66666666666667,2,22,2,1,0,0,53,0,1,0,1,0,0,0,3,3,0,4,4,2,2,2,1,Student,4,2,4,4,2,2,2,2,1,1,4,1,0,0,5,5,2,1,6
269,1,1,4,4,1,1,1,1,West Coast Region,FALSE,FALSE,NA,NA,1,0,1,0,1,0,4,3.33333333333333,2,3.71428571428571,2.66666666666667,4,25,NA,0,0,1,53,0,1,1,1,4,NA,NA,9,9,NA,4,4,4,2,3,0,Student,2,4,4,4,0,1,1,1,1,1,3,1,1,1,9,7,1,1,0
270,1,1,3,3,1,1,3,1,Greater Banjul Area,TRUE,TRUE,1.1821721554965037,1.7525648380570127,1,0,0,0,1,0,3.57142857142857,4,1,3.42857142857143,4.66666666666667,1,28,2,1,0,0,60,0,1,1,1,1,1,NA,4,3,1,4,3,4,1,2,4,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",4,3,4,3,3,3,2,5,1,1,2,3,1,1,8,10,2,1,2
271,0,0,NA,NA,2,NA,NA,0,Greater Banjul Area,FALSE,FALSE,1.1287686146632763,1.667296098808866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,3,0,0,0,53,1,1,NA,NA,5,5,NA,10,10,5,NA,NA,NA,NA,NA,0,"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,2,NA,NA,NA,NA,8
272,1,0,2,NA,1,1,NA,1,Greater Banjul Area,TRUE,FALSE,1.0640965636273194,1.302624871278082,NA,NA,NA,NA,NA,NA,2.57142857142857,3,4,NA,NA,NA,20,2,1,0,0,60,0,1,1,NA,1,NA,NA,1,1,NA,2,NA,2,NA,20,0,None,4,NA,2,NA,0,NA,0,NA,1,NA,2,NA,0,0,10,NA,1,NA,10
