UniqueID,mg.asp,mg.pln,treat.dum,post.dum,Region,wave,wave.comp,nonmissing2,nonmissing3,wt2,wt3,educ,age,male,bs.exp.now,bs.exp.past,Score,lost.job,job_w1,gvt.rg.cmpl,bs.supp
1275,4,1,1,0,Greater Banjul Area,1,1,TRUE,TRUE,1.0885666248972508,1.5140088650739638,2,20,0,0,0,53,0,0,4,2
1275,4,1,1,1,Greater Banjul Area,2,1,TRUE,TRUE,1.0885666248972508,1.5140088650739638,2,20,0,0,0,53,0,0,5,4
1275,4,1,1,1,Greater Banjul Area,3,1,TRUE,TRUE,1.0885666248972508,1.5140088650739638,2,20,0,0,0,53,0,0,4,4
1276,4,3,1,0,Greater Banjul Area,1,1,TRUE,TRUE,1.1773657263878783,1.7289998165700762,2,25,1,0,0,53,1,0,4,2
1276,3,1,1,1,Greater Banjul Area,2,1,TRUE,TRUE,1.1773657263878783,1.7289998165700762,2,25,1,0,0,53,1,0,4,2
1276,1,1,1,1,Greater Banjul Area,3,1,TRUE,TRUE,1.1773657263878783,1.7289998165700762,2,25,1,0,0,53,1,0,5,2
1277,5,1,1,0,Greater Banjul Area,1,1,TRUE,TRUE,1.093255735289136,1.3617679229912572,2,22,1,0,1,53,1,0,2,2
1277,1,1,1,1,Greater Banjul Area,2,1,TRUE,TRUE,1.093255735289136,1.3617679229912572,2,22,1,0,1,53,1,0,4,4
1277,2,1,1,1,Greater Banjul Area,3,1,TRUE,TRUE,1.093255735289136,1.3617679229912572,2,22,1,0,1,53,1,0,5,2
1278,5,1,0,0,Greater Banjul Area,1,1,TRUE,TRUE,1.2022937047246065,1.8108787713366312,2,25,1,1,0,53,1,0,4,2
1278,4,1,0,1,Greater Banjul Area,2,1,TRUE,TRUE,1.2022937047246065,1.8108787713366312,2,25,1,1,0,53,1,0,4,2
1278,3,1,0,1,Greater Banjul Area,3,1,TRUE,TRUE,1.2022937047246065,1.8108787713366312,2,25,1,1,0,53,1,0,4,2
1279,2,1,0,0,Greater Banjul Area,1,1,TRUE,TRUE,1.2336372250313588,1.5534917541895197,3,30,1,0,1,53,2,1,4,1
1279,2,1,0,1,Greater Banjul Area,2,1,TRUE,TRUE,1.2336372250313588,1.5534917541895197,3,30,1,0,1,53,2,1,4,2
1279,3,1,0,1,Greater Banjul Area,3,1,TRUE,TRUE,1.2336372250313588,1.5534917541895197,3,30,1,0,1,53,2,1,3,1
1280,4,1,1,0,West Coast Region,1,1,TRUE,TRUE,1.0924292540028762,1.4901735557165516,2,24,0,0,0,53,1,0,4,4
1280,4,2,1,1,West Coast Region,2,1,TRUE,TRUE,1.0924292540028762,1.4901735557165516,2,24,0,0,0,53,1,0,4,4
1280,3,1,1,1,West Coast Region,3,1,TRUE,TRUE,1.0924292540028762,1.4901735557165516,2,24,0,0,0,53,1,0,4,4
1281,2,3,1,0,Upper River Region,1,1,TRUE,TRUE,1.0418737568025498,1.1637607464102728,2,36,1,0,0,53,1,0,3,2
1281,3,1,1,1,Upper River Region,2,1,TRUE,TRUE,1.0418737568025498,1.1637607464102728,2,36,1,0,0,53,1,0,4,1
1281,5,1,1,1,Upper River Region,3,1,TRUE,TRUE,1.0418737568025498,1.1637607464102728,2,36,1,0,0,53,1,0,4,2
1282,4,1,0,0,Greater Banjul Area,1,1,TRUE,TRUE,1.0855705085701588,1.4617971498334317,2,28,0,1,0,53,1,0,5,2
1282,3,1,0,1,Greater Banjul Area,2,1,TRUE,TRUE,1.0855705085701588,1.4617971498334317,2,28,0,1,0,53,1,0,5,4
1282,3,1,0,1,Greater Banjul Area,3,1,TRUE,TRUE,1.0855705085701588,1.4617971498334317,2,28,0,1,0,53,1,0,4,2
1283,5,1,1,0,West Coast Region,1,1,TRUE,TRUE,1.184039909371384,1.666009525842611,2,24,0,1,0,53,1,0,4,2
1283,4,1,1,1,West Coast Region,2,1,TRUE,TRUE,1.184039909371384,1.666009525842611,2,24,0,1,0,53,1,0,4,4
1283,5,3,1,1,West Coast Region,3,1,TRUE,TRUE,1.184039909371384,1.666009525842611,2,24,0,1,0,53,1,0,5,2
1284,4,1,1,0,West Coast Region,1,1,TRUE,FALSE,1.0408284861761474,1.2293214794739082,2,35,0,1,0,53,1,0,4,2
1284,3,1,1,1,West Coast Region,2,1,TRUE,FALSE,1.0408284861761474,1.2293214794739082,2,35,0,1,0,53,1,0,3,4
1284,NA,NA,1,1,West Coast Region,3,0,TRUE,FALSE,1.0408284861761474,1.2293214794739082,2,35,0,1,0,53,1,0,NA,NA
1285,4,1,1,0,Greater Banjul Area,1,1,TRUE,FALSE,1.0638508589638407,1.3172247574950091,3,28,1,1,0,53,2,1,4,1
1285,4,2,1,1,Greater Banjul Area,2,1,TRUE,FALSE,1.0638508589638407,1.3172247574950091,3,28,1,1,0,53,2,1,2,2
1285,NA,NA,1,1,Greater Banjul Area,3,0,TRUE,FALSE,1.0638508589638407,1.3172247574950091,3,28,1,1,0,53,2,1,NA,NA
1286,4,1,0,0,Greater Banjul Area,1,1,TRUE,TRUE,1.0909494891619773,1.4345018530291906,2,32,1,1,0,53,1,0,4,2
1286,3,1,0,1,Greater Banjul Area,2,1,TRUE,TRUE,1.0909494891619773,1.4345018530291906,2,32,1,1,0,53,1,0,4,2
1286,3,3,0,1,Greater Banjul Area,3,1,TRUE,TRUE,1.0909494891619773,1.4345018530291906,2,32,1,1,0,53,1,0,3,2
1287,4,1,0,0,Greater Banjul Area,1,1,TRUE,TRUE,1.0385593048827817,1.149591701451617,2,26,1,1,0,53,1,0,4,2
1287,1,1,0,1,Greater Banjul Area,2,1,TRUE,TRUE,1.0385593048827817,1.149591701451617,2,26,1,1,0,53,1,0,4,2
